api_call_id	centroid_lon	centroid_lat	gridId	gridX	gridY	forecast	forecastHourly	forecastOffice	forecastGridData	observationStations	forecastZone	timeZone	radarStation
https://api.weather.gov/points/49.3166,-95.0485999	-95.0485999	49.3166	FGF	156	173	https://api.weather.gov/gridpoints/FGF/156,173/forecast	https://api.weather.gov/gridpoints/FGF/156,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/156,173	https://api.weather.gov/gridpoints/FGF/156,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3164,-95.0147	-95.0147	49.3164	FGF	158	173	https://api.weather.gov/gridpoints/FGF/158,173/forecast	https://api.weather.gov/gridpoints/FGF/158,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/158,173	https://api.weather.gov/gridpoints/FGF/158,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3161,-94.9808	-94.9808	49.3161	FGF	159	173	https://api.weather.gov/gridpoints/FGF/159,173/forecast	https://api.weather.gov/gridpoints/FGF/159,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/159,173	https://api.weather.gov/gridpoints/FGF/159,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3159,-94.9469	-94.9469	49.3159	FGF	160	173	https://api.weather.gov/gridpoints/FGF/160,173/forecast	https://api.weather.gov/gridpoints/FGF/160,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/160,173	https://api.weather.gov/gridpoints/FGF/160,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3156,-94.913	-94.913	49.3156	FGF	161	173	https://api.weather.gov/gridpoints/FGF/161,173/forecast	https://api.weather.gov/gridpoints/FGF/161,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/161,173	https://api.weather.gov/gridpoints/FGF/161,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3153999,-94.8790999	-94.8790999	49.3153999	FGF	162	173	https://api.weather.gov/gridpoints/FGF/162,173/forecast	https://api.weather.gov/gridpoints/FGF/162,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/162,173	https://api.weather.gov/gridpoints/FGF/162,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.3151,-94.8452	-94.8452	49.3151	FGF	163	173	https://api.weather.gov/gridpoints/FGF/163,173/forecast	https://api.weather.gov/gridpoints/FGF/163,173/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/163,173	https://api.weather.gov/gridpoints/FGF/163,173/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2945,-95.1506	-95.1506	49.2945	FGF	153	172	https://api.weather.gov/gridpoints/FGF/153,172/forecast	https://api.weather.gov/gridpoints/FGF/153,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/153,172	https://api.weather.gov/gridpoints/FGF/153,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2941999,-95.1167	-95.1167	49.2941999	FGF	154	172	https://api.weather.gov/gridpoints/FGF/154,172/forecast	https://api.weather.gov/gridpoints/FGF/154,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/154,172	https://api.weather.gov/gridpoints/FGF/154,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2939999,-95.0829	-95.0829	49.2939999	FGF	155	172	https://api.weather.gov/gridpoints/FGF/155,172/forecast	https://api.weather.gov/gridpoints/FGF/155,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/155,172	https://api.weather.gov/gridpoints/FGF/155,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2938,-95.049	-95.049	49.2938	FGF	156	172	https://api.weather.gov/gridpoints/FGF/156,172/forecast	https://api.weather.gov/gridpoints/FGF/156,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/156,172	https://api.weather.gov/gridpoints/FGF/156,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2936,-95.0151	-95.0151	49.2936	FGF	158	172	https://api.weather.gov/gridpoints/FGF/158,172/forecast	https://api.weather.gov/gridpoints/FGF/158,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/158,172	https://api.weather.gov/gridpoints/FGF/158,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2933,-94.9812	-94.9812	49.2933	FGF	159	172	https://api.weather.gov/gridpoints/FGF/159,172/forecast	https://api.weather.gov/gridpoints/FGF/159,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/159,172	https://api.weather.gov/gridpoints/FGF/159,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2931,-94.9473	-94.9473	49.2931	FGF	160	172	https://api.weather.gov/gridpoints/FGF/160,172/forecast	https://api.weather.gov/gridpoints/FGF/160,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/160,172	https://api.weather.gov/gridpoints/FGF/160,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2928,-94.9134	-94.9134	49.2928	FGF	161	172	https://api.weather.gov/gridpoints/FGF/161,172/forecast	https://api.weather.gov/gridpoints/FGF/161,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/161,172	https://api.weather.gov/gridpoints/FGF/161,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2926,-94.8794999	-94.8794999	49.2926	FGF	162	172	https://api.weather.gov/gridpoints/FGF/162,172/forecast	https://api.weather.gov/gridpoints/FGF/162,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/162,172	https://api.weather.gov/gridpoints/FGF/162,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2923,-94.8456	-94.8456	49.2923	FGF	163	172	https://api.weather.gov/gridpoints/FGF/163,172/forecast	https://api.weather.gov/gridpoints/FGF/163,172/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/163,172	https://api.weather.gov/gridpoints/FGF/163,172/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2717,-95.1508999	-95.1508999	49.2717	FGF	153	171	https://api.weather.gov/gridpoints/FGF/153,171/forecast	https://api.weather.gov/gridpoints/FGF/153,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/153,171	https://api.weather.gov/gridpoints/FGF/153,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2715,-95.1170999	-95.1170999	49.2715	FGF	154	171	https://api.weather.gov/gridpoints/FGF/154,171/forecast	https://api.weather.gov/gridpoints/FGF/154,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/154,171	https://api.weather.gov/gridpoints/FGF/154,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2712,-95.0832	-95.0832	49.2712	FGF	155	171	https://api.weather.gov/gridpoints/FGF/155,171/forecast	https://api.weather.gov/gridpoints/FGF/155,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/155,171	https://api.weather.gov/gridpoints/FGF/155,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.271,-95.0493	-95.0493	49.271	FGF	156	171	https://api.weather.gov/gridpoints/FGF/156,171/forecast	https://api.weather.gov/gridpoints/FGF/156,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/156,171	https://api.weather.gov/gridpoints/FGF/156,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2708,-95.0154	-95.0154	49.2708	FGF	158	171	https://api.weather.gov/gridpoints/FGF/158,171/forecast	https://api.weather.gov/gridpoints/FGF/158,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/158,171	https://api.weather.gov/gridpoints/FGF/158,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
https://api.weather.gov/points/49.2705,-94.9815	-94.9815	49.2705	FGF	159	171	https://api.weather.gov/gridpoints/FGF/159,171/forecast	https://api.weather.gov/gridpoints/FGF/159,171/forecast/hourly	https://api.weather.gov/offices/FGF	https://api.weather.gov/gridpoints/FGF/159,171	https://api.weather.gov/gridpoints/FGF/159,171/stations	https://api.weather.gov/zones/forecast/MNZ006	America/Chicago	KMVX
